"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"PUT запрос с form-encoded данными","288","4. PUT с form parameters","","Wed Apr 08 18:35:49 UTC 2026","passed","Wed Apr 08 18:35:49 UTC 2026","","Тесты FormApiClient","ru.learning.java.clients.api.FormApiClientTest","testPutWithFormParams"
"Полное обновление поста","265","8. PUT запрос - обновление ресурса","","Wed Apr 08 18:35:51 UTC 2026","passed","Wed Apr 08 18:35:51 UTC 2026","","Тесты ApiClient","ru.learning.java.clients.api.ApiClientTest","testPutRequest"
"","293","2. Валидация XML через Hamcrest hasXPath","","Wed Apr 08 18:35:41 UTC 2026","passed","Wed Apr 08 18:35:42 UTC 2026","","Тесты работы с XML","ru.learning.java.clients.api.XmlApiTest","testXmlValidationWithHamcrest"
"","312","4. Inline multipart без клиента","","Wed Apr 08 18:35:58 UTC 2026","passed","Wed Apr 08 18:35:59 UTC 2026","","Тесты MultipartApiClient","ru.learning.java.clients.api.MultipartApiClientTest","testMultipartInline"
"Обновление данных с Bearer токеном","329","10. PUT с Bearer Token","","Wed Apr 08 18:35:56 UTC 2026","passed","Wed Apr 08 18:35:56 UTC 2026","","Тесты AuthApiClient","ru.learning.java.clients.api.AuthApiClientTest","testPutWithBearerToken"
"","41","9. Автоматический OAuth flow в одном методе sendGetWithOAuth","","Wed Apr 08 18:35:44 UTC 2026","passed","Wed Apr 08 18:35:44 UTC 2026","","ru.learning.java.clients.api.OAuthApiClientTest","ru.learning.java.clients.api.OAuthApiClientTest","testSendGetWithOAuth"
"Проверяем, что Base64-encoded значение в заголовке соответствует паттерну Stripe","284","9. Stripe-style: заголовок Authorization содержит Base64(apiKey:)","","Wed Apr 08 18:35:47 UTC 2026","passed","Wed Apr 08 18:35:47 UTC 2026","","ApiKeyClientTest — аутентификация через API Keys","ru.learning.java.clients.api.ApiKeyClientTest","testApiKeyAsBasicAuthFullCycle"
"Использование FormApiClient с базовыми методами","141","17. Комбинированный тест - FormApiClient с базовыми методами","","Wed Apr 08 18:35:52 UTC 2026","passed","Wed Apr 08 18:35:52 UTC 2026","","Тесты ApiClient","ru.learning.java.clients.api.ApiClientTest","testFormClientWithBasicMethods"
"Пошаговое создание и валидация поста","213","4. Создание поста с подробными шагами","","Wed Apr 08 18:35:38 UTC 2026","passed","Wed Apr 08 18:35:38 UTC 2026","","Тесты с Allure отчетами через TestSpecification","ru.learning.java.allure.AllureIntegrationTest","testCreatePostWithSteps"
"Использование AuthApiClient с базовыми методами","73","16. Комбинированный тест - AuthApiClient с базовыми методами","","Wed Apr 08 18:35:52 UTC 2026","passed","Wed Apr 08 18:35:52 UTC 2026","","Тесты ApiClient","ru.learning.java.clients.api.ApiClientTest","testAuthClientWithBasicMethods"
"Все детали запроса и ответа автоматически попадают в Allure отчет","2413","1. GET запрос с автоматическим Allure логированием","","Wed Apr 08 18:35:35 UTC 2026","passed","Wed Apr 08 18:35:37 UTC 2026","","Тесты с Allure отчетами через TestSpecification","ru.learning.java.allure.AllureIntegrationTest","testGetWithAllureLogging"
"","350","1. Получение XML и извлечение значения тега","","Wed Apr 08 18:35:41 UTC 2026","passed","Wed Apr 08 18:35:41 UTC 2026","","Тесты работы с XML","ru.learning.java.clients.api.XmlApiTest","testParseXmlResponse"
"Демонстрация работы с моделью Comment","56","18. GET запрос - получение комментариев к посту","","Wed Apr 08 18:35:52 UTC 2026","passed","Wed Apr 08 18:35:52 UTC 2026","","Тесты ApiClient","ru.learning.java.clients.api.ApiClientTest","testGetCommentsForPost"
"Создание поста и получение его комментариев","187","22. Комплексный сценарий - создание поста и комментариев","","Wed Apr 08 18:35:53 UTC 2026","passed","Wed Apr 08 18:35:53 UTC 2026","","Тесты ApiClient","ru.learning.java.clients.api.ApiClientTest","testComplexScenarioPostAndComments"
"","291","5. PUT с form params — обновление данных сотрудника","","Wed Apr 08 18:35:49 UTC 2026","passed","Wed Apr 08 18:35:50 UTC 2026","","Тесты FormApiClient","ru.learning.java.clients.api.FormApiClientTest","testPutFormParamsEmployee"
"Удаление ресурса с Bearer токеном","369","12. DELETE с Bearer Token","","Wed Apr 08 18:35:56 UTC 2026","passed","Wed Apr 08 18:35:57 UTC 2026","","Тесты AuthApiClient","ru.learning.java.clients.api.AuthApiClientTest","testDeleteWithBearerToken"
"Проверка обработки ошибок с логированием в Allure","357","7. Негативный тест с Allure отчетом","","Wed Apr 08 18:35:39 UTC 2026","passed","Wed Apr 08 18:35:39 UTC 2026","","Тесты с Allure отчетами через TestSpecification","ru.learning.java.allure.AllureIntegrationTest","testNegativeScenarioWithAllure"
"Разные API используют разные имена параметра: apikey, api_key, key, token","1240","7. GET с API Key в query-параметре 'apikey' (альтернативное имя)","","Wed Apr 08 18:35:46 UTC 2026","passed","Wed Apr 08 18:35:47 UTC 2026","","ApiKeyClientTest — аутентификация через API Keys","ru.learning.java.clients.api.ApiKeyClientTest","testGetWithApiKeyDifferentParamNames"
"Фильтрация постов по userId","74","3. GET запрос с query параметрами","","Wed Apr 08 18:35:50 UTC 2026","passed","Wed Apr 08 18:35:50 UTC 2026","","Тесты ApiClient","ru.learning.java.clients.api.ApiClientTest","testGetWithQueryParameters"
"Проверка обработки 404 ошибки","58","13. Негативный тест - несуществующий ресурс","","Wed Apr 08 18:35:52 UTC 2026","passed","Wed Apr 08 18:35:52 UTC 2026","","Тесты ApiClient","ru.learning.java.clients.api.ApiClientTest","testNotFoundError"
"Создание нового поста","133","6. POST запрос с JSON телом","","Wed Apr 08 18:35:51 UTC 2026","passed","Wed Apr 08 18:35:51 UTC 2026","","Тесты ApiClient","ru.learning.java.clients.api.ApiClientTest","testPostRequestWithJsonBody"
"Преобразование ответа в типизированный объект","63","5. Десериализация JSON в Java объект","","Wed Apr 08 18:35:50 UTC 2026","passed","Wed Apr 08 18:35:51 UTC 2026","","Тесты ApiClient","ru.learning.java.clients.api.ApiClientTest","testJsonToObjectDeserialization"
"","278","10. PATCH — частичное обновление через httpbin","","Wed Apr 08 18:35:51 UTC 2026","passed","Wed Apr 08 18:35:52 UTC 2026","","Тесты ApiClient","ru.learning.java.clients.api.ApiClientTest","testPatchOnHttpbin"
"","615","4. POST с JAXB объектом","","Wed Apr 08 18:35:42 UTC 2026","passed","Wed Apr 08 18:35:43 UTC 2026","","Тесты работы с XML","ru.learning.java.clients.api.XmlApiTest","testPostWithJaxbObject"
"Демонстрация добавления вложений в отчет","167","6. Тест с attachment в Allure","","Wed Apr 08 18:35:39 UTC 2026","passed","Wed Apr 08 18:35:39 UTC 2026","","Тесты с Allure отчетами через TestSpecification","ru.learning.java.allure.AllureIntegrationTest","testWithAttachments"
"","288","3. Файл + поля формы","","Wed Apr 08 18:35:58 UTC 2026","passed","Wed Apr 08 18:35:58 UTC 2026","","Тесты MultipartApiClient","ru.learning.java.clients.api.MultipartApiClientTest","testUploadFileWithMetadata"
"","37","7. GET защищённого ресурса с валидным токеном","","Wed Apr 08 18:35:43 UTC 2026","passed","Wed Apr 08 18:35:43 UTC 2026","","ru.learning.java.clients.api.OAuthApiClientTest","ru.learning.java.clients.api.OAuthApiClientTest","testGetProtectedResourceWithToken"
"POST запрос с телом и API Key в заголовке","294","3. POST с API Key в заголовке X-API-Key","","Wed Apr 08 18:35:44 UTC 2026","passed","Wed Apr 08 18:35:45 UTC 2026","","ApiKeyClientTest — аутентификация через API Keys","ru.learning.java.clients.api.ApiKeyClientTest","testPostWithApiKeyHeader"
"Проверка обработки 401 Unauthorized","279","2. GET с Basic Auth - неверные credentials","","Wed Apr 08 18:35:53 UTC 2026","passed","Wed Apr 08 18:35:54 UTC 2026","","Тесты AuthApiClient","ru.learning.java.clients.api.AuthApiClientTest","testGetWithBasicAuthFailure"
"Демонстрация базового GET запроса и валидации статус кода","63","1. Простой GET запрос - получение списка пользователей","","Wed Apr 08 18:35:50 UTC 2026","passed","Wed Apr 08 18:35:50 UTC 2026","","Тесты ApiClient","ru.learning.java.clients.api.ApiClientTest","testSimpleGetRequest"
"Проверяем, что X-API-Key передаётся в заголовке и виден в ответе","376","1. GET с API Key в заголовке X-API-Key","","Wed Apr 08 18:35:44 UTC 2026","passed","Wed Apr 08 18:35:44 UTC 2026","","ApiKeyClientTest — аутентификация через API Keys","ru.learning.java.clients.api.ApiKeyClientTest","testGetWithApiKeyHeader"
"Получение конкретного пользователя по ID","72","2. GET запрос с path параметром","","Wed Apr 08 18:35:50 UTC 2026","passed","Wed Apr 08 18:35:50 UTC 2026","","Тесты ApiClient","ru.learning.java.clients.api.ApiClientTest","testGetWithPathParameter"
"Демонстрация асинхронного выполнения GET запроса","67","1. Выполнение GET запроса через актор","","Wed Apr 08 18:35:59 UTC 2026","passed","Wed Apr 08 18:35:59 UTC 2026","","Примеры использования акторной модели","ru.learning.java.actors.HttpRequestActorTest","testGetRequestWithActor"
"Частичное обновление с Bearer токеном","319","11. PATCH с Bearer Token","","Wed Apr 08 18:35:56 UTC 2026","passed","Wed Apr 08 18:35:56 UTC 2026","","Тесты AuthApiClient","ru.learning.java.clients.api.AuthApiClientTest","testPatchWithBearerToken"
"","317","2. Загрузка файла из classpath","","Wed Apr 08 18:35:58 UTC 2026","passed","Wed Apr 08 18:35:58 UTC 2026","","Тесты MultipartApiClient","ru.learning.java.clients.api.MultipartApiClientTest","testUploadFileFromClasspath"
"","10","11. Получение токена с неверным client_secret → 401","","Wed Apr 08 18:35:44 UTC 2026","passed","Wed Apr 08 18:35:44 UTC 2026","","ru.learning.java.clients.api.OAuthApiClientTest","ru.learning.java.clients.api.OAuthApiClientTest","testFetchTokenWithWrongSecret"
"Полный цикл: получение токена и использование его для запросов","556","13. Комплексный сценарий - получение и использование токена","","Wed Apr 08 18:35:57 UTC 2026","passed","Wed Apr 08 18:35:57 UTC 2026","","Тесты AuthApiClient","ru.learning.java.clients.api.AuthApiClientTest","testCompleteTokenFlow"
"Проверка обработки невалидного токена","310","14. Негативный тест - невалидный Bearer токен","","Wed Apr 08 18:35:57 UTC 2026","passed","Wed Apr 08 18:35:58 UTC 2026","","Тесты AuthApiClient","ru.learning.java.clients.api.AuthApiClientTest","testInvalidBearerToken"
